pickup_hour,count,MAE,MedAE
0,7940,5.366843217575669e+44,23.25999999980195
1,5173,2.309561918148656e+37,22.839999999863
2,3456,2.16285013810493e+21,22.289938698826013
3,2285,3.684451626906969e+31,22.66770079017452
4,1815,1.4219574960229478e+34,24.889997541369603
5,1998,3.7977497637657274e+39,25.654502328028435
6,3898,2.490962570446534e+50,23.179996865828528
7,7037,5.948601467690391e+43,22.05999999681676
8,9660,1.5262887696009112e+51,22.379999335932197
9,10236,2.7673676849102866e+35,22.539999999968117
10,10661,1.6639427490543838e+39,22.459999996671815
11,11346,6.497978696852191e+30,22.059999999729037
12,12396,1.645491805205526e+39,22.349999999693445
13,13051,1.3255289913208706e+44,22.649999987770272
14,13964,2.9717905339907594e+40,22.899999986832277
15,14468,6.372573045114842e+39,22.7899999980963
16,14895,2.870034263238745e+43,23.84999992039532
17,17025,9.757685467599051e+39,23.739999959750044
18,17795,4.393351827674631e+46,23.379999994024057
19,15632,3.802347287552921e+35,23.14999832087367
20,14554,3.49625548859696e+40,22.64999989473245
21,15021,1.5883275216678918e+42,23.059999969839055
22,14007,4.925797553522372e+43,23.25999999739762
23,10925,4.0093902376499206e+54,23.34999985959353
