td_decile,count,MAE,MedAE
"(-0.001, 0.6]",25196,3.0420334146959724e+20,16.049999999928637
"(0.6, 0.9]",25214,1.2950827688742187e+21,16.649999999676943
"(0.9, 1.2]",26576,9.707337987967382e+18,18.24999999973121
"(1.2, 1.5]",24242,1.1465640559776148e+23,19.894999977237845
"(1.5, 1.85]",23448,3.428124150169238e+21,21.219999998219244
"(1.85, 2.33]",25046,6.060013117212357e+24,23.019999963658876
"(2.33, 3.1]",25269,5.659755323583763e+25,25.4999980165801
"(3.1, 4.59]",24415,8.968148678462895e+27,28.779999308446268
"(4.59, 8.63]",24915,9.811380907086382e+35,38.49442274282631
"(8.63, 19.53]",24917,1.758570616944215e+54,15829086123890.732
